"","time_step","low_marsh_area","high_marsh_area","total_marsh_area","upland_extent","marsh_encroach_area","fiddler_crabs","sea_level_rise"
"190",48.25,6992.480602,34023.7887,41016.2693,2380.055772,2.924246971,208.0995217,2.905439688
"191",48.5,6997.74375,34027.20944,41024.95319,2379.948877,2.924369188,208.7492828,2.905721384
"192",48.75,7003.027633,34030.61593,41033.64357,2379.841972,2.924487268,209.3788748,2.90600308
"193",49,7008.332255,34034.00821,41042.34046,2379.735054,2.924601361,209.9887921,2.906284776
"194",49.25,7013.657619,34037.38629,41051.04391,2379.628126,2.924711609,210.5795258,2.906566472
"195",49.5,7019.003728,34040.75019,41059.75392,2379.521185,2.924818149,211.1515631,2.906848167
"196",49.75,7024.370585,34044.09994,41068.47053,2379.414234,2.924921114,211.705387,2.907129863
"197",50,7029.758193,34047.43557,41077.19376,2379.307271,2.925020633,212.2414752,2.907411559
"198",50.25,7035.166555,34050.75708,41085.92364,2379.200296,2.925116828,212.7603003,2.907693255
"199",50.5,7040.595673,34054.06451,41094.66018,2379.09331,2.925209817,213.2623284,2.907974951
"200",50.75,7046.045551,34057.35788,41103.40343,2378.986313,2.925299717,213.7480195,2.908256646
"201",51,7051.516192,34060.63721,41112.1534,2378.879304,2.925386635,214.2178268,2.908538342
"202",51.25,7057.007598,34063.90251,41120.91011,2378.772283,2.92547068,214.6721962,2.908820038
"203",51.5,7062.519772,34067.15383,41129.6736,2378.665252,2.925551953,215.1115663,2.909101734
"204",51.75,7068.052718,34070.39117,41138.44389,2378.558209,2.925630553,215.536368,2.90938343
"205",52,7073.606438,34073.61457,41147.221,2378.451154,2.925706575,215.9470243,2.909665125
"206",52.25,7079.180934,34076.82403,41156.00497,2378.344088,2.925780112,216.34395,2.909946821
"207",52.5,7084.77621,34080.01959,41164.7958,2378.23701,2.92585125,216.7275517,2.910226766
"208",52.75,7090.392144,34083.2014,41173.59354,2378.129922,2.925920045,217.0982278,2.910506537
"209",53,7096.028724,34086.36948,41182.3982,2378.022822,2.925986575,217.456368,2.910786307
"210",53.25,7101.685955,34089.52386,41191.20982,2377.91571,2.926050921,217.8023536,2.911066077
"211",53.5,7107.363838,34092.66457,41200.02841,2377.808587,2.926113161,218.1365571,2.911344847
"212",53.75,7113.062305,34095.7917,41208.854,2377.701453,2.92617335,218.4593426,2.911621866
"213",54,7118.781233,34098.90539,41217.68662,2377.594308,2.926231531,218.7710655,2.911898885
"214",54.25,7124.520625,34102.00567,41226.52629,2377.487152,2.926287774,219.0720725,2.912175904
"215",54.5,7130.280482,34105.09256,41235.37304,2377.379985,2.926342147,219.3627019,2.912452924
"216",54.75,7136.060808,34108.16608,41244.22689,2377.272806,2.926394718,219.6432833,2.912729943
"217",55,7141.861606,34111.22626,41253.08787,2377.165616,2.926445548,219.9141379,2.913006962
"218",55.25,7147.682879,34114.27312,41261.956,2377.058416,2.9264947,220.1755783,2.913283981
"219",55.5,7153.524628,34117.30667,41270.8313,2376.951204,2.926542234,220.4279091,2.913561001
"220",55.75,7159.386856,34120.32695,41279.71381,2376.84398,2.926588205,220.6714264,2.91383802
"221",56,7165.269567,34123.33398,41288.60355,2376.736746,2.926632668,220.9064183,2.914115039
"222",56.25,7171.172762,34126.32777,41297.50053,2376.629501,2.926675678,221.1331649,2.914392058
"223",56.5,7177.096445,34129.30836,41306.4048,2376.522244,2.926717284,221.3519384,2.914669078
"224",56.75,7183.040618,34132.27575,41315.31637,2376.414977,2.926757536,221.5630031,2.914946097
"225",57,7189.005283,34135.22998,41324.23527,2376.307698,2.926796481,221.7666159,2.915223116
"226",57.25,7194.990443,34138.17107,41333.16152,2376.200408,2.926834165,221.963026,2.915500135
"227",57.5,7200.996101,34141.09904,41342.09514,2376.093107,2.926870632,222.1524754,2.915777154
"228",57.75,7207.022258,34144.01392,41351.03617,2375.985795,2.926905924,222.3351987,2.916054174
"229",58,7213.068919,34146.91572,41359.98463,2375.878472,2.926940082,222.5114237,2.916331466
"230",58.25,7219.136104,34149.80444,41368.94055,2375.771137,2.926973151,222.6813711,2.916609984
"231",58.5,7225.223905,34152.68004,41377.90394,2375.663792,2.92700519,222.8452549,2.916888503
"232",58.75,7231.332324,34155.54251,41386.87484,2375.556435,2.927036234,223.0032825,2.917167021
"233",59,7237.461363,34158.3919,41395.85326,2375.449067,2.927066319,223.1556548,2.91744554
"234",59.25,7243.611025,34161.22822,41404.83925,2375.341688,2.927095477,223.3025665,2.91772716
"235",59.5,7249.781536,34164.05127,41413.83281,2375.234298,2.927123795,223.4442061,2.918010551
"236",59.75,7255.973025,34166.86095,41422.83398,2375.126896,2.927151336,223.5807561,2.918293943
"237",60,7262.185495,34169.65728,41431.84278,2375.019482,2.927178123,223.7123931,2.918577334
"238",60.25,7268.418949,34172.44029,41440.85924,2374.912057,2.927204185,223.8392881,2.918860726
"239",60.5,7274.673388,34175.20999,41449.88338,2374.804621,2.927229543,223.9616067,2.919144118
"240",60.75,7280.948816,34177.96642,41458.91523,2374.697173,2.927254223,224.0795087,2.919427509
"241",61,7287.245234,34180.70959,41467.95482,2374.589714,2.927278247,224.1931492,2.919710901
"242",61.25,7293.562646,34183.43952,41477.00217,2374.482243,2.927301637,224.3026778,2.919994292
"243",61.5,7299.901053,34186.15625,41486.05731,2374.374761,2.927324414,224.4082393,2.920277684
"244",61.75,7306.260458,34188.8598,41495.12025,2374.267267,2.927346598,224.5099736,2.920561076
"245",62,7312.640863,34191.55018,41504.19104,2374.159762,2.927368209,224.6080161,2.920844467
"246",62.25,7319.042271,34194.22742,41513.26969,2374.052245,2.927389266,224.7024976,2.921127859
"247",62.5,7325.464683,34196.89155,41522.35623,2373.944717,2.927409786,224.7935443,2.921411251
"248",62.75,7331.908103,34199.54259,41531.45069,2373.837178,2.927429788,224.8812784,2.921694642
"249",63,7338.372533,34202.18056,41540.55309,2373.729627,2.927449289,224.9658179,2.921978034
"250",63.25,7344.857974,34204.80548,41549.66345,2373.622065,2.927468304,225.0472767,2.922261425
"251",63.5,7351.36443,34207.41738,41558.78181,2373.514491,2.92748685,225.1257649,2.922544817
"252",63.75,7357.891902,34210.01629,41567.90819,2373.406906,2.927504941,225.2013886,2.922828601
"253",64,7364.440421,34212.6022,41577.04262,2373.299309,2.927522599,225.2742507,2.923112857
"254",64.25,7371.010023,34215.17509,41586.18511,2373.191701,2.927539846,225.34445,2.923397112
"255",64.5,7377.600711,34217.73499,41595.3357,2373.084081,2.927556696,225.4120824,2.923681368
"256",64.75,7384.212487,34220.28193,41604.49442,2372.97645,2.92757316,225.4772401,2.923965623
"257",65,7390.845352,34222.81593,41613.66128,2372.868807,2.927589252,225.5400123,2.924262443
"258",65.25,7397.500216,34225.3361,41622.83632,2372.761153,2.927605207,225.600485,2.92456052
"259",65.5,7404.177172,34227.84239,41632.01956,2372.653486,2.927621053,225.6587412,2.924858597
"260",65.75,7410.876221,34230.33481,41641.21103,2372.545806,2.92763679,225.714861,2.925156674
"261",66,7417.597367,34232.81339,41650.41076,2372.438115,2.92765242,225.7689218,2.925454751
"262",66.25,7424.34061,34235.27816,41659.61878,2372.330411,2.927667945,225.820998,2.925752828
"263",66.5,7431.105954,34237.72915,41668.8351,2372.222695,2.927683367,225.8711617,2.926050905
"264",66.75,7437.8934,34240.16637,41678.05977,2372.114966,2.927698687,225.9194822,2.926348982
"265",67,7444.702951,34242.58985,41687.2928,2372.007226,2.927713907,225.9660265,2.926647059
"266",67.25,7451.534609,34244.99961,41696.53422,2371.899473,2.927729028,226.0108592,2.926945136
"267",67.5,7458.388375,34247.39569,41705.78407,2371.791707,2.927744051,226.0540425,2.927243213
"268",67.75,7465.264253,34249.7781,41715.04236,2371.68393,2.927758979,226.0956364,2.92754129
"269",68,7472.162244,34252.14688,41724.30913,2371.57614,2.927773811,226.135699,2.927839367
"270",68.25,7479.08235,34254.50204,41733.58439,2371.468339,2.92778855,226.174286,2.928137443
"271",68.5,7486.024574,34256.84362,41742.86819,2371.360524,2.927803197,226.2114513,2.92843552
"272",68.75,7492.988917,34259.17163,41752.16055,2371.252698,2.927817752,226.2472469,2.928733597
"273",69,7499.975382,34261.4861,41761.46149,2371.144859,2.927832217,226.2817227,2.929031674
"274",69.25,7506.98397,34263.78707,41770.77104,2371.037009,2.927846594,226.314927,2.929329751
"275",69.5,7514.014685,34266.07454,41780.08922,2370.929145,2.927860882,226.3469064,2.929627828
"276",69.75,7521.067526,34268.34855,41789.41608,2370.82127,2.927875084,226.3777057,2.929925905
"277",70,7528.142498,34270.60912,41798.75162,2370.713383,2.9278892,226.4073682,2.930223982
"278",70.25,7535.239601,34272.85628,41808.09588,2370.605483,2.92790323,226.4359355,2.930522059
"279",70.5,7542.358838,34275.09006,41817.4489,2370.497571,2.927917177,226.4634477,2.930822357
"280",70.75,7549.500372,34277.31031,41826.81068,2370.389646,2.92793108,226.4899436,2.931132651
"281",71,7556.664926,34279.51635,41836.18127,2370.281709,2.927945118,226.5154605,2.931442945
"282",71.25,7563.852503,34281.70819,41845.56069,2370.173759,2.927959284,226.5400344,2.931753239
"283",71.5,7571.063106,34283.88586,41854.94897,2370.065796,2.927973571,226.5636999,2.932063534
"284",71.75,7578.296735,34286.0494,41864.34614,2369.95782,2.927987971,226.5864903,2.932374864
"285",72,7585.553468,34288.19875,41873.75222,2369.849831,2.928002498,226.608438,2.932686787
"286",72.25,7592.83335,34290.3339,41883.16725,2369.741829,2.928017154,226.6295738,2.93299871
